der Mann ist hoch|the man is high
ein Bundesstaat der USA|a US federal state
ethische Fragen|ethical questions
eine Fusion durchführen|to carry out a merger
im Sonnenlicht glänzen|to shine in the sunlight
eine hohe Instanz|a high instance
eine Person meiden|to avoid a person
optimistische Prognosen|optimistic forecasts
ein Marktsegment|a market segment
eine Meinung widerspiegeln|to reflect an opinion
ein zyklischer Prozess|a cyclic process
von der Strecke abgehen|to leave the track
eine auffallende Ähnlichkeit|a striking similarity
bewegliche Gelenke|flexible joints
ein wissenschaftlicher Fachbereich|an academic department
eine fragliche Entscheidung|a questionable decision
sich hinsetzen|to sit down
ein beliebter Moderator|a popular host
eine warme Mütze|a warm hat
nächtliche Geräusche|nocturnal sounds
die Realisierung eines Projekts|the implementation of a project
ein erfahrener Rechtsanwalt|an experienced lawyer
einen Rekord brechen|to break a record
eine Geschichte wiedergeben|to report a story
ein Projekt ausdehnen|to extend a project
der Brexit diskutieren|to discuss Brexit
eine Diktatur beenden|to end a dictatorship
ein Einbruch melden|to report a break-in
Insulin spritzen|to inject insulin
eine freundliche Interaktion|a friendly interaction
eine scharfe Kante|a sharp edge
der Laut des Windes|the sound of the wind
eine gute Rendite|a good return
selbstbewusst auftreten|to act self-confidently
ein souveräner Staat|a sovereign state
ein breites Vokabular|a broad vocabulary
eine Technologie weiterentwickeln|to develop a technology further
worüber sprechen?|what to talk about?
der langsame Zerfall|the slow decay
ein grüner Zweig|a green branch
am Samstag abreisen|to depart on Saturday
eine ernste Drohung|a serious threat
in Erregung versetzen|to excite
einen Gruß schicken|to send a greeting
eine Brücke konstruieren|to construct a bridge
einen Korb tragen|to carry a basket
ein polnischer Pole|a Polish Pole
auf dem Schoß sitzen|to sit on the lap
ein erfahrener Veranstalter|an experienced organizer
die Verarbeitung von Daten|the processing of data
zurückbleiben und warten|to stay behind and wait
unter der Last zusammenbrechen|to collapse under the weight
eine plötzliche Attacke|a sudden attack
jemanden ausnutzen|to exploit someone
ein wütender Demonstrant|an angry demonstrator
seine Ehefrau lieben|to love his wife
höflich fragen|to ask politely
ein kleines Insekt|a small insect
die wirtschaftliche Konjunktur|the economic situation
eine Saite spannen|to stretch a string
ein großzügiger Sponsor|a generous sponsor
einen Sprengstoff sprengen|to blast an explosive
tagsüber arbeiten|to work during the day
ein Seil zerren|to pull a rope
ein frecher Affe|a cheeky monkey
ein DFB-Spiel|a DFB match
die genaue Festlegung|the exact determination
ein lebendiges Forum|a lively forum
das Geschäftsjahr beenden|to end the financial year
mit Mitleid ansehen|to look with pity
eine muslimische Gemeinde|a Muslim community
ein technischer Spezialist|a technical specialist
üblicherweise pünktlich|usually on time
eine Strafe verhängen|to impose a penalty
plötzlich verstummen|to fall silent suddenly
ein visuelles Signal|a visual signal
für das Wohl aller|for the well-being of all
einen Motor zerlegen|to dismantle an engine
die Wahrheit zeichnet sich ab|the truth emerges
einen Freund antreffen|to meet a friend
einen Apparat benutzen|to use a device
einen Plan auslegen|to lay out a plan
ein interessierter Betrachter|an interested observer
ihr Ehemann|her husband
eine nachträgliche Änderung|a subsequent change
ein Paradies auf Erden|a paradise on earth
wild spekulieren|to speculate wildly
eine spitze Nadel|a sharp needle
ein bunter Strauß|a colorful bouquet
einen Studiengang wählen|to choose a course of study
ein Ticket kaufen|to buy a ticket
die Verteidigung des Landes|the defense of the country
das Licht ausschalten|to turn off the light
dreizehn Jahre alt|thirteen years old
ein Projekt einbinden|to integrate a project
hohes Fieber haben|to have a high fever
Wasser gießen|to pour water
die Hauptsache ist|the main thing is
Geld kassieren|to collect money
ein berühmter Komponist|a famous composer
eine Korrektur vornehmen|to make a correction
monatlich bezahlen|to pay monthly
eine sächsische Stadt|a Saxon city
durch den Park schreiten|to stride through the park
reines Silber|pure silver
ein Thema thematisieren|to broach a subject
ein guter Urgroßvater|a good great-grandfather
eine verletzte Person|an injured person
ein Auto abdecken|to cover a car
die Altstadt besuchen|to visit the old town
ein Denkmal errichten|to erect a monument
eine Datei einordnen|to file a document
eine wichtige Einzelheit|an important detail
frühzeitig aufstehen|to get up early
fundamentale Rechte|fundamental rights
das Holz glüht|the wood glows
der Import aus China|the import from China
eine feste Konstante|a fixed constant
eine Schublade öffnen|to open a drawer
mehr Toleranz zeigen|to show more tolerance
eine unnötige Gefahr|an unnecessary danger
eine Verhaltensweise ändern|to change a behavior
eine hohe Wachstumsrate|a high growth rate
ein treuer Begleiter|a faithful companion
mit Problemen einhergehen|to be accompanied by problems
ein Ziel einholen|to catch up with a goal
einen Fund melden|to report a discovery
ein funktionales Design|a functional design
ein süßer Hase|a cute rabbit
eine junge Jungfrau|a young virgin
ein legales Geschäft|a legal business
ein schmaler Pfad|a narrow path
alles riskieren|to risk everything
ein silberner Ring|a silver ring
die Teilung der Stadt|the division of the city
strenge Überwachung|strict surveillance
die menschliche Anatomie|the human anatomy
ein modernes Design|a modern design
ein großer Durchbruch|a major breakthrough
eine schöne Jahreszeit|a beautiful season
viel Lob erhalten|to receive much praise
die Telefonnummer anrufen|to call the phone number
die Umwandlung der Energie|the conversion of energy
die Bekämpfung von Krankheiten|the control of diseases
eine schwere Finanzkrise|a severe financial crisis
Euro in Dollar umrechnen|to convert euros into dollars
ein altes Archiv|an old archive
eine leere Dose|an empty can
jemanden aus dem Schlaf erwecken|to awaken someone from sleep
der Geheimdienst arbeitet|the secret service works
jemanden mustern|to eye someone
die NATO-Übung|the NATO exercise
perfekte Symmetrie|perfect symmetry
ungleiches Paar|unequal pair
ein verlässlicher Freund|a reliable friend
den Fernseher abschalten|to turn off the TV
im Buch blättern|to flip through the book
ein braves Kind|a well-behaved child
der Cousin besucht|the cousin visits
gut ergehen|to fare well
der Gesang der Vögel|the singing of birds
ein nützliches Hilfsmittel|a useful tool
ein Gesetz verstoßen|to break a law
die Abwesenheit des Chefs|the absence of the boss
der Anhang des Dokuments|the appendix of the document
im Atelier arbeiten|to work in the studio
ein großes Brett|a large board
die Fachsprache verstehen|to understand the technical language
die Geldmenge kontrollieren|to control the money supply
viel Getreide anbauen|to grow a lot of grain
ein Grundrecht verteidigen|to defend a fundamental right
eine innere Leere|an inner emptiness
weit zurückliegen|to date far back
am Abgrund stehen|to stand at the abyss
politisches Asyl|political asylum
die Uhr aufziehen|to wind up the clock
die Arbeit einreichen|to submit the work
ein fauler Schüler|a lazy student
das weiche Fell|the soft fur
mit den Freunden mitspielen|to play with friends
einen Eid schwören|to swear an oath
ein Syrer lebt hier|a Syrian lives here
eine Entschuldigung verzeihen|to forgive an apology
mit dem Glas anstoßen|to toast with the glass
einen Einkauf machen|to make a purchase
ein Gesetz erlassen|to enact a law
die Erstellung des Plans|the preparation of the plan
ein großes Fass|a large barrel
der Kulturstaatsminister spricht|the minister of culture speaks
ein Landsmann trifft|to meet a compatriot
die Laufzeit des Vertrags|the term of the contract
Nahrungsmittel kaufen|to buy food
eine plausible Erklärung|a plausible explanation
im Quartier wohnen|to live in the quarters
viel Spielraum haben|to have a lot of leeway
Stickstoff im Labor|nitrogen in the lab
Trost spenden|to offer solace
die Tür zuschlagen|to slam the door
den Verkehr behindern|to obstruct traffic
ein beträchtliches Vermögen|a considerable fortune
die Ewigkeit spüren|to feel eternity
die Größenordnung abschätzen|to estimate the magnitude
mit dem Auto hinfahren|to drive there by car
eine moderne Metropole|a modern metropolis
östlich des Flusses|east of the river
ein mutiger Reiter|a brave rider
Wolle spinnen|to spin wool
das Trinken einstellen|to stop drinking
im Club verkehren|to socialize in the club
über die Neuigkeit verwundern|to be amazed at the news
eine zulässige Methode|a permissible method
ein gefährlicher Abstieg|a dangerous descent
ausgezeichnete Qualität|excellent quality
die Deutung des Traums|the interpretation of the dream
den Einstieg finden|to find the entry
eine führende Position|a leading position
die Halbzeitpause|the halftime break
ein großer Irrtum|a big error
ein radioaktives Isotop|a radioactive isotope
ein weiches Kissen|a soft pillow
ein antiker Römer|an ancient Roman
ein lauter Specht|a noisy woodpecker
in Übereinstimmung mit|in agreement with
unschuldig sein|to be innocent
eine Untersuchung veranlassen|to initiate an investigation
eine effektive Vorgehensweise|an effective procedure
eine geheime Affäre|a secret affair
ein afghanischer Flüchtling|an Afghan refugee
eine Serie ausstrahlen|to broadcast a series
die Gesundheit beeinträchtigen|to impair health
mit der Fluggesellschaft fliegen|to fly with the airline
ein gläubiger Mensch|a devout person
eine Wunde heilen|to heal a wound
eine Kündigung erhalten|to receive a termination
ein Kupferkessel|a copper kettle
eine spannende Lesung|an exciting reading
Argentinien besuchen|to visit Argentina
ein gotischer Dom|a Gothic cathedral
eigens angefertigt|specially made
eine sinnvolle Ergänzung|a useful addition
Obst ernten|to harvest fruit
die Jury entscheidet|the jury decides
ein treuer Kumpel|a loyal pal
nominaler Wert|nominal value
eine große Ratte|a large rat
sechzehn Jahre alt|sixteen years old
ein starkes Seil|a strong rope
am Tresen stehen|to stand at the counter
die Qualität einstufen|to rate the quality
an der Fakultät lehren|to teach at the faculty
auf etwas hindeuten|to point to something
jemanden langweilen|to bore someone
eine magische Nacht|a magical night
ein neues Modul|a new module
ein frommer Priester|a pious priest
einen Rückzug planen|to plan a retreat
im dritten Stockwerk|on the third floor
ein Tiroler Berg|a Tyrolean mountain
zuweilen lesen|to read occasionally
die Abnahme der Qualität|the decline in quality
die Arbeitszeit ändern|to change working hours
ein Elektroauto fahren|to drive an electric car
irgendjemand fragen|to ask someone
die Jeans tragen|to wear jeans
dem Druck nachgeben|to yield to the pressure
den Tatort untersuchen|to investigate the crime scene
eine tragische Geschichte|a tragic story
ein Attentat verüben|to commit an assassination
einen Ausschnitt zeigen|to show a section
jüngst veröffentlicht|recently published
eine Kopie machen|to make a copy
die Population untersuchen|to study the population
ein Referendum abhalten|to hold a referendum
eine simple Lösung|a simple solution
nach dem Schlüssel tasten|to fumble for the key
der Umzug nach Berlin|the move to Berlin
eine uralte Stadt|an ancient city
zusammenhalten und kämpfen|to hold together and fight
anfänglich schwierig|initially difficult
ein ruhiger Anwohner|a quiet resident
ein schöner Ausblick|a beautiful view
Butter kaufen|to buy butter
gegen Diskriminierung kämpfen|to fight against discrimination
ein grüner Frosch|a green frog
ein Funke Hoffnung|a spark of hope
eine fürchterliche Nacht|a terrible night
norwegische Musik|Norwegian music
die Reichen der Welt|the rich of the world
eine alte Skulptur|an old sculpture
im Stadtrat sitzen|to sit on the city council
einen Verweis erhalten|to receive a reprimand
ein Zürcher Café|a Zurich café
große Beachtung finden|to receive great attention
die Befreiung feiern|to celebrate the liberation
Geschenke bescheren|to bring gifts
ein amerikanischer Botschafter|an American ambassador
die Delegierte spricht|the delegate speaks
entgegen den Erwartungen|contrary to expectations
das Grundeinkommen einführen|to introduce basic income
im Nachhinein bedauern|to regret in retrospect
eine starke Neigung|a strong tendency
