of|IO|The color of the car is red.
naphthalene|NN|Naphthalene is used in mothballs.
snoring|JJ|His snoring kept everyone awake.
lambaste|VV|They lambaste the policy openly.
ex-smoker|NN|He is an ex-smoker.
integrating|JJ|The integrating technology was new.
jessamine|NN|The garden was filled with jessamine.
hollowly|RR|The voice echoed hollowly in the room.
low-sulfur|JJ|They used low-sulfur fuel.
semi-retirement|NN|He considered semi-retirement.
crescent|JJ|The moon was in a crescent phase.
mealybug|NN|The plant was infested with mealybugs.
steelmaker|NN|The steelmaker worked tirelessly.
off-handed|JJ|His off-handed comment hurt.
bluestone|NN|The path was made of bluestone.
despairingly|RR|She looked despairingly at the mess.
overclocking|NN|Overclocking can boost performance.
cameroonian|JJ|He attended a Cameroonian wedding.
post-training|JJ|The post-training session was useful.
brightening|NN|The brightening of the sky was beautiful.
steel-gray|JJ|The car was steel-gray.
spectate|VV|They will spectate the game.
serine|NN|Serine is an amino acid.
whirligig|NN|The whirligig spun in the wind.
swizzle|NN|He stirred his drink with a swizzle stick.
supernumerary|JJ|He had a supernumerary tooth.
rattan|NN|The chair was made of rattan.
undelivered|JJ|The package was undelivered.
pharmacokinetics|NN|They studied the pharmacokinetics of the drug.
baiting|NN|Baiting is common in fishing.
retweet|VV|She will retweet the news.
all-expenses-paid|JJ|They enjoyed an all-expenses-paid trip.
dogsled|JJ|They went on a dogsled adventure.
manchego|NN|She served manchego cheese.
rights-based|JJ|They fought for rights-based reforms.
beanpole|NN|He was a tall, thin beanpole.
snorkeler|NN|The snorkeler explored the reef.
warmed-over|JJ|The warmed-over food was bland.
incandescence|NN|The incandescence lit up the room.
sublingual|JJ|He took a sublingual tablet.
itis|NN|He complained of an itis.
gracilis|NN|The gracilis muscle is important for movement.
mindset|NN|She has a positive mindset.
psychopharmacology|NN|He studied psychopharmacology.
hemagglutinin|NN|Hemagglutinin is found in influenza viruses.
chemical-free|JJ|They used chemical-free products.
burundian|JJ|They met a Burundian diplomat.
dishware|NN|The dishware was carefully selected.
chapati|NN|She made fresh chapati for dinner.
refrigerant|JJ|They replaced the refrigerant system.
olfaction|NN|Olfaction is key to taste.
de-emphasis|NN|The de-emphasis on grades was surprising.
stentorian|JJ|He had a stentorian voice.
cupful|NN|She added a cupful of sugar.
mind-numbingly|RR|The task was mind-numbingly boring.
twenty-odd|JJ|It happened twenty-odd years ago.
irrefutably|RR|The evidence was irrefutably strong.
first-choice|JJ|She was the first-choice candidate.
unnumbered|JJ|The pages were unnumbered.
exfoliator|NN|She used an exfoliator for her skin.
petrify|VV|The loud noise will petrify you.
anti-money|JJ|The anti-money laundering laws are strict.
morphometric|JJ|They conducted morphometric analysis.
skink|NN|They spotted a skink in the garden.
mastoidectomy|NN|He underwent a mastoidectomy.
newel|NN|The newel post was ornate.
beatify|VV|The Pope will beatify her.
pharmacotherapy|NN|Pharmacotherapy is often necessary in treatment.
full-throttle|JJ|They made a full-throttle effort.
in-town|JJ|They stayed at an in-town hotel.
flat-rate|JJ|The service offered a flat-rate fee.
interpenetrate|VV|The two cultures interpenetrate seamlessly.
tuition-free|JJ|He received a tuition-free education.
self-defined|JJ|She follows a self-defined path.
conjuror|NN|The conjuror amazed the crowd.
stalking|JJ|The stalking behavior was observed.
chum|VV|They will chum the water to attract fish.
obstructed|JJ|The view was obstructed by a tree.
dissidence|NN|The dissidence within the group grew.
deputation|NN|The deputation presented their demands.
remold|VV|They plan to remold the company’s image.
bobwhite|NN|The bobwhite called from the bushes.
cut-and-dried|JJ|It was a cut-and-dried decision.
helicopter|VV|They will helicopter supplies to the area.
community-service|JJ|He completed his community-service hours.
gruelling|JJ|The hike was gruelling.
turbaned|JJ|The turbaned man greeted us warmly.
terrapin|NN|The terrapin basked in the sun.
supercooled|JJ|The supercooled liquid remained stable.
industry-leading|JJ|They offer industry-leading technology.
underline|NN|The underline emphasized the text.
galena|NN|Galena is a source of lead.
expectedly|RR|She reacted expectedly to the news.
humoral|JJ|Humoral immunity was studied in the lab.
nelly|NN|The nelly was known for its vibrant colors.
acyclovir|NN|Acyclovir is used to treat viral infections.
dressing-room|NN|The actors gathered in the dressing-room.
mass-transit|JJ|They rely on mass-transit systems.
rimfire|NN|The rimfire rifle was old-fashioned.
igniter|NN|The igniter failed to spark.
phosphorescence|NN|The phosphorescence glowed in the dark.
generalship|NN|His generalship was respected by all.
liberal-minded|JJ|He was known for being liberal-minded.
rosy-cheeked|JJ|The child was rosy-cheeked from the cold.
trend-setting|JJ|The designer was trend-setting in her field.
ginning|NN|The ginning process was laborious.
zither|NN|She played the zither beautifully.
midstream|JJ|They made a midstream decision to change plans.
protist|NN|The protist was observed under the microscope.
hermaphroditic|JJ|Some species of fish are hermaphroditic.
chirping|JJ|The chirping birds woke me early.
bluestem|NN|The prairie was covered in bluestem.
remodeler|NN|They hired a remodeler for the kitchen.
overspending|NN|Overspending is a common issue in budgeting.
off-world|JJ|The story was set on an off-world colony.
strong-arming|JJ|They were accused of strong-arming their competitors.
workmate|NN|His workmate helped him with the project.
crackling|NN|The crackling of the fire was comforting.
penumbral|JJ|The penumbral shadow cast an eerie glow.
hand-rolled|JJ|He smoked a hand-rolled cigarette.
thespian|JJ|Her thespian talents were well known.
trickling|JJ|The trickling water was soothing.
unkindness|NN|His unkindness shocked everyone.
water-cooler|JJ|They had a water-cooler discussion about the game.
seventh-inning|JJ|The seventh-inning stretch was lively.
myoelectric|JJ|He used a myoelectric prosthetic.
antinomy|NN|The antinomy between the two principles was debated.
atomism|NN|Atomism is a theory in philosophy.
slow-cooked|JJ|The slow-cooked meal was delicious.
money-hungry|JJ|He was known for being money-hungry.
coccyx|NN|He injured his coccyx in the fall.
myocyte|NN|The myocyte is crucial for muscle function.
shiite-led|JJ|The shiite-led group organized the event.
left-side|JJ|The left-side tire was flat.
employment-based|JJ|They offer employment-based visas.
five-letter|JJ|The password must be a five-letter word.
jet-setting|JJ|They lived a jet-setting lifestyle.
half-year|NN|The project was delayed by a half-year.
scrubbed|JJ|The floor was scrubbed clean.
sepal|NN|The sepal protects the flower bud.
staphylococci|NN|Staphylococci bacteria can cause infections.
virtuously|RR|She acted virtuously under pressure.
brechtian|JJ|The play had a Brechtian influence.
disputable|JJ|The facts were disputable.
research-oriented|JJ|She joined a research-oriented program.
reshuffling|NN|The reshuffling of the cabinet was surprising.
prehospital|JJ|They received prehospital care.
bursar|NN|The bursar managed the school's finances.
straw-colored|JJ|The wine was straw-colored.
cross-validation|JJ|They used cross-validation in their analysis.
sepia-toned|JJ|The photograph was sepia-toned.
harmonically|RR|The notes harmonically blended together.
two-wheeler|NN|He rode a two-wheeler to work.
triggerman|NN|The triggerman was never found.
unrewarded|JJ|His efforts went unrewarded.
recommence|VV|They will recommence the meeting after lunch.
least-expensive|JJ|It’s the least-expensive option.
false-color|JJ|The false-color image was used for analysis.
dynamometer|NN|The dynamometer measures force.
animistic|JJ|The tribe had animistic beliefs.
bestowal|NN|The bestowal of the award was a surprise.
dramaturgy|NN|He studied dramaturgy in college.
modernizer|NN|The modernizer pushed for reforms.
columned|JJ|The building had a columned facade.
beaten-down|JJ|He felt beaten-down by the challenges.
shouter|NN|The shouter disrupted the event.
late-morning|JJ|They had a late-morning meeting.
unpredicted|JJ|The unpredicted storm caught everyone off guard.
food-processing|JJ|The food-processing plant was inspected.
jamesian|JJ|The novel had a Jamesian style.
true-false|JJ|They took a true-false test.
whale-watching|JJ|They went on a whale-watching tour.
lubricated|JJ|The gears were well lubricated.
xeric|JJ|The xeric landscape was barren.
herbicide-resistant|JJ|They planted herbicide-resistant crops.
quadrivalent|JJ|The quadrivalent vaccine was effective.
oligodendrocyte|NN|The oligodendrocyte supports neurons.
postulant|NN|The postulant joined the monastery.
reformatory|JJ|He was sent to a reformatory school.
overlarge|JJ|The overlarge coat didn’t fit well.
open-end|JJ|They preferred an open-end contract.
preplanned|JJ|The trip was preplanned months in advance.
polyamory|NN|They discussed the concept of polyamory.
pumpernickel|NN|She baked pumpernickel bread.
finalization|NN|The finalization of the deal took time.
perpendicularly|RR|The beams were placed perpendicularly.
lowest-priced|JJ|They bought the lowest-priced model.
truth-telling|JJ|Truth-telling was his policy.
intellectual-property|JJ|She specialized in intellectual-property law.
entranced|JJ|The audience was entranced by the performance.
libration|NN|Libration explains the moon’s oscillation.
web-like|JJ|The cracks formed a web-like pattern.
exothermic|JJ|The reaction was exothermic.
multi-faith|JJ|They attended a multi-faith service.
animal-like|JJ|He made animal-like sounds.
naughtiness|NN|His naughtiness got him in trouble.
monstrance|NN|The monstrance was displayed on the altar.
six-two|MC|He stood at six-two.
affinal|JJ|Affinal relatives were invited to the wedding.
close-fitting|JJ|She wore a close-fitting dress.
ascribed|JJ|The ascribed status was significant.
well-born|JJ|He was well-born into a noble family.
rebuttable|JJ|The argument was rebuttable.
fleece-lined|JJ|She wore fleece-lined boots.
instrumentalism|NN|He advocated for instrumentalism in education.
tatty|JJ|The tatty old book was falling apart.
windproof|JJ|He wore a windproof jacket.
semiformal|JJ|The event was semiformal.
price-fixing|JJ|They were accused of price-fixing.
firehose|NN|The firehose was ready for use.
state-imposed|JJ|The state-imposed restrictions were strict.
rager|NN|The party turned into a rager.
bowl-shaped|JJ|The stadium was bowl-shaped.
out-of-season|JJ|They bought out-of-season fruit.
catsup|NN|He prefers catsup on his fries.
ouzo|NN|They drank ouzo after dinner.
non-monogamous|JJ|They were in a non-monogamous relationship.
bugbear|NN|Traffic is his biggest bugbear.
straightedge|NN|He used a straightedge to draw the line.
high-incidence|JJ|The region has a high-incidence of flu.
propitiate|VV|They performed rituals to propitiate the gods.
pendency|NN|The pendency of the case caused anxiety.
gulley|NN|The rain carved a gulley in the hillside.
goddamit|UH|Goddamit, I forgot the keys!
inter-individual|JJ|Inter-individual differences were noted.
flameout|NN|The plane suffered a flameout.
ineptly|RR|He ineptly handled the situation.
life-force|NN|They believed in a universal life-force.
smouldering|JJ|The smouldering embers were still hot.
shakespearian|JJ|The play had Shakespearian themes.
beachy|JJ|They stayed in a beachy bungalow.
rinky-dink|JJ|The rinky-dink car barely worked.
bacchanal|JJ|The party was a bacchanal affair.
slaver|VV|The pirates would slaver over treasure.
backscatter|NN|The backscatter was detected by the radar.
risk-management|JJ|They implemented risk-management strategies.
bear-like|JJ|He had a bear-like build.
phospholipid|JJ|The cell membrane is phospholipid in nature.
gaster|NN|The gaster of the ant was swollen.
uncovering|NN|The uncovering of the truth was shocking.
english-style|JJ|The house was built in an English-style.
transit-oriented|JJ|They developed a transit-oriented plan.
glockenspiel|NN|The glockenspiel chimed softly.
wilting|JJ|The wilting flowers needed water.
low-yield|JJ|They harvested low-yield crops.
conciliator|NN|The conciliator helped resolve the dispute.
mawkish|JJ|The movie was overly mawkish.
higher-profile|JJ|They took on a higher-profile case.
stiff-necked|JJ|He was known for being stiff-necked.
oil-exporting|JJ|The country is an oil-exporting nation.
