|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en|sentence_lemmatized_de
4247|4145|die|die Moral|die Moralen|In vielen Märchen steckt eine tiefere Moral.|moral|moral|In many fairy tales, there is a deeper moral.|noun|Jede Geschichte hat eine Moral.|Every story has a moral.
4248|4146|adj|philosophisch||Er stellte eine philosophische Frage.|philosophical|philosophical|He asked a philosophical question.|adjective|Ben macht es Spaß, philosophische Fragen zu diskutieren.|Ben enjoys discussing philosophical questions.
4249|4147|verb|verständigen (sich)|verständigen (sich), verständigt, verständigte, hat verständigt||to notify, communicate|to notify||verb|Die Nachbarin verständigt sofort die Feuerwehr, als sie den Brand bemerkt.|The neighbor immediately notifies the fire brigade when she notices the fire.
4249.001|4147|verb|verständigen (sich)|verständigen (sich), verständigt, verständigte, hat verständigt|Sie verständigen sich per Telefon.|to notify, communicate|to communicate|They communicate via telephone.|verb|Die Nachbarin verständigt sofort die Feuerwehr, als sie den Brand bemerkt.|The neighbor immediately notifies the fire brigade when she notices the fire.
4250|4148|die|die Willenserklärung|die Willenserklärungen|Die Willenserklärung war eindeutig.|declaration of intent|declaration of intent|The declaration of intent was clear.|noun|Ursula schreibt eine Willenserklärung, damit ihr Mann nach der Operation für sie entscheiden kann.|Ursula writes a declaration of intent so that her husband makes decisions for her after the operation.
4251|4149|verb|zweifeln|zweifeln, zweifelt, zweifelte, hat gezweifelt|Er zweifelte an ihrer Geschichte.|to doubt|to doubt|He doubted her story.|verb|Ich zweifle an der Wahrheit der Geschichte.|I doubt the truth of history.
4252|4150|verb|andauern|andauern, dauert an, dauerte an, hat angedauert|Die Besprechung dauerte stundenlang an.|to continue, last|to continue|The meeting continued for hours.|verb|Der Regen dauert noch drei Tage an.|The rain continues for three more days.
4252.001|4150|verb|andauern|andauern, dauert an, dauerte an, hat angedauert||to continue, last|to last||verb|Der Regen dauert noch drei Tage an.|The rain continues for three more days.
4253|4151|verb|aufrichten (sich)|aufrichten (sich), richtet auf, richtete auf, hat aufgerichtet||to put up (right), straighten up|to put up (right)||verb|Mit ihrem kaputten Rücken kann sich meine Oma nicht mehr ganz aufrichten.|With her broken back, my grandmother can’t quite straighten up.
4253.001|4151|verb|aufrichten (sich)|aufrichten (sich), richtet auf, richtete auf, hat aufgerichtet|Er richtete sich langsam wieder auf.|to put up (right), straighten up|to straighten up|He slowly straightened up again.|verb|Mit ihrem kaputten Rücken kann sich meine Oma nicht mehr ganz aufrichten.|With her broken back, my grandmother can’t quite straighten up.
4254|4152|verb|auslaufen|auslaufen, läuft aus, lief aus, ist ausgelaufen||to run out, leak|to run out||verb|Die Flasche ist kaputt und das ganze Wasser läuft aus.|The bottle is broken and all the water is leaking.
4254.001|4152|verb|auslaufen|auslaufen, läuft aus, lief aus, ist ausgelaufen|Das Öl ist aus dem Motor ausgelaufen.|to run out, leak|to leak|The oil leaked from the car engine.|verb|Die Flasche ist kaputt und das ganze Wasser läuft aus.|The bottle is broken and all the water is leaking.
4255|4153|adj|einverstanden||Sie war mit dem Plan einverstanden.|(to be) in agreement|to be in agreement|She was in agreement with the plan.|adjective|Ich bin mit deinem Vorschlag einverstanden und stimme dir zu.|I agree with your suggestion and agree with you.
4256|4154|adj|fachlich|||specialist, technical, professional|specialist||adjective|Unsere Kunden können sich auf unsere fachliche Kompetenz verlassen.|Our customers can rely on our professional competence.
4256.001|4154|adj|fachlich|||specialist, technical, professional|technical||adjective|Unsere Kunden können sich auf unsere fachliche Kompetenz verlassen.|Our customers can rely on our professional competence.
4256.002|4154|adj|fachlich||Die fachliche Schulung war intensiv.|specialist, technical, professional|professional|The professional training was intense.|adjective|Unsere Kunden können sich auf unsere fachliche Kompetenz verlassen.|Our customers can rely on our professional competence.
4257|4155|das|das Märchen|die Märchen|Das Märchen erzählt von mutigen Helden.|fairy tale|fairy tale|The fairy tale tells of brave heroes.|noun|Im Märchen heiraten der Prinz und die Prinzessin am Ende immer.|In fairy tales, the prince and the princess always marry in the end.
4258|4156|das|das Regime|die Regime|Das Regime kontrollierte das Land.|regime|regime|The regime controlled the country.|noun|Nach der Revolution wird das Land von einem neuen Regime geführt.|After the revolution, the country is led by a new regime.
4259|4157|der|der Schädel|die Schädel|Der Schädel war stark beschädigt.|skull, head|skull|The skull was severely damaged.|noun|Der feste Knochen des Schädels schützt das Gehirn vor Verletzungen.|The strong bone of the skull protects the brain from injury.
4259.001|4157|der|der Schädel|die Schädel||skull, head|head||noun|Der feste Knochen des Schädels schützt das Gehirn vor Verletzungen.|The strong bone of the skull protects the brain from injury.
4260|4158|verb|spezialisieren|spezialisieren, spezialisiert, spezialisierte, hat spezialisiert|Er spezialisiert sich auf Medizin.|to specialize|to specialize|He specializes in medicine.|verb|Der Arzt spezialisiert sich auf genetische Krankheiten.|The doctor specializes in genetic diseases.
4261|4159|verb|variieren|variieren, variiert, variierte, hat variiert|Er variiert die Übungen jeden Tag.|to vary|to vary|He varies the exercises every day.|verb|Die Preise variieren stark von Laden zu Laden.|– Prices vary widely from shop to shop.
4262|4160|der|der Löwe|die Löwen|Der Löwe brüllte laut in der Nacht.|lion|lion|The lion roared loudly in the night.|noun|Obwohl er sehr groß ist, zählt der Löwe zu einer Art der Katzen.|Although very large, the lion counts as a species of cat.
4263|4161|der|der Operator|die Operatoren|Der Operator steuerte die Maschine.|operator|operator|The operator controlled the machine.|noun|Beispiele für mathematische Operatoren sind Plus und Minus.|Examples of mathematical operators are plus and minus.
4264|4162|die|die Partnerschaft|die Partnerschaften|Ihre Partnerschaft hält lange.|partnership|partnership|Their partnership lasts long.|noun|Eine erfolgreiche Partnerschaft erfordert gemeinsame Interessen und Werte.|A successful partnership requires shared interests and values.
4265|4163|das|das Pfund|die Pfunde|Ein Pfund Butter kostet zwei Euro.|pound|pound|A pound of butter costs two euros.|noun|Ein Pfund ist etwas weniger als ein halbes Kilo.|A pound is a little less than half a kilo.
4266|4164|die|die Unterhaltung|die Unterhaltungen||entertainment, conversation|entertainment||noun|Dieser Film ist eine gute Unterhaltung für die ganze Familie.|This movie is good entertainment for the whole family.
4266.001|4164|die|die Unterhaltung|die Unterhaltungen|Die Unterhaltung verlief angeregt.|entertainment, conversation|conversation|The conversation was lively.|noun|Dieser Film ist eine gute Unterhaltung für die ganze Familie.|This movie is good entertainment for the whole family.
4267|4165|verb|zerfallen|zerfallen, zerfällt, zerfiel, ist zerfallen|Das alte Gebäude zerfällt langsam.|to fall apart, disintegrate, decay, decline|to fall apart|The old building is slowly falling apart.|verb|Der Kuchen ist so trocken, dass er auf dem Teller zerfällt.|The cake is so dry that it falls apart on the plate.
4267.001|4165|verb|zerfallen|zerfallen, zerfällt, zerfiel, ist zerfallen||to fall apart, disintegrate, decay, decline|to disintegrate||verb|Der Kuchen ist so trocken, dass er auf dem Teller zerfällt.|The cake is so dry that it falls apart on the plate.
4267.002|4165|verb|zerfallen|zerfallen, zerfällt, zerfiel, ist zerfallen||to fall apart, disintegrate, decay, decline|to decay||verb|Der Kuchen ist so trocken, dass er auf dem Teller zerfällt.|The cake is so dry that it falls apart on the plate.
4267.003|4165|verb|zerfallen|zerfallen, zerfällt, zerfiel, ist zerfallen||to fall apart, disintegrate, decay, decline|to decline||verb|Der Kuchen ist so trocken, dass er auf dem Teller zerfällt.|The cake is so dry that it falls apart on the plate.
4268|4166|adv|zustande||Das Projekt kam endlich zustande.|(come/bring) about|(come/bring) about|The project finally came about.|adverb|Ich bin so müde, dass ich heute nichts zustande bringe.|I’m so tired, I can’t accomplish anything today.
4269|4167|verb|ablösen|ablösen, löst ab, löste ab, hat abgelöst|Sie hat die Führungsrolle abgelöst.|to take over, remove, peel away|to take over|She took over the leadership role.|verb|Ich muss heute nicht den ganzen Tag arbeiten, weil mich Jan ablöst.|I don’t have to work all day today because Jan is taking over from me.
4269.001|4167|verb|ablösen|ablösen, löst ab, löste ab, hat abgelöst||to take over, remove, peel away|to remove||verb|Ich muss heute nicht den ganzen Tag arbeiten, weil mich Jan ablöst.|I don’t have to work all day today because Jan is taking over from me.
4269.002|4167|verb|ablösen|ablösen, löst ab, löste ab, hat abgelöst||to take over, remove, peel away|to peel away||verb|Ich muss heute nicht den ganzen Tag arbeiten, weil mich Jan ablöst.|I don’t have to work all day today because Jan is taking over from me.
4270|4168|adv|allenfalls||Es gibt allenfalls eine Chance.|at most|at most|There is at most one chance.|adverb|Ich habe wenig Zeit und kann allenfalls morgen für zwei Stunden arbeiten.|I have little time and can work for two hours tomorrow at most.
4271|4169|verb|ausbleiben|ausbleiben, bleibt aus, blieb aus, ist ausgeblieben|Die erwarteten Ergebnisse blieben aus.|to be missing, fail to appear, stay out|to be missing|The expected results were missing.|verb|Weil sie schwanger ist, bleibt ihre Periode aus.|Because she’s pregnant, her period fails to appear.
4271.001|4169|verb|ausbleiben|ausbleiben, bleibt aus, blieb aus, ist ausgeblieben||to be missing, fail to appear, stay out|to fail to appear||verb|Weil sie schwanger ist, bleibt ihre Periode aus.|Because she’s pregnant, her period fails to appear.
4271.002|4169|verb|ausbleiben|ausbleiben, bleibt aus, blieb aus, ist ausgeblieben||to be missing, fail to appear, stay out|to stay out||verb|Weil sie schwanger ist, bleibt ihre Periode aus.|Because she’s pregnant, her period fails to appear.
4272|4170|verb|besorgen|besorgen, besorgt, besorgte, hat besorgt|Er besorgt die Tickets für das Konzert.|to get, provide, buy|to get|He gets the tickets for the concert.|verb|Dieses Jahr besorge ich keine Geschenke für Weihnachten.|I’m not getting presents for Christmas this year.
4272.001|4170|verb|besorgen|besorgen, besorgt, besorgte, hat besorgt||to get, provide, buy|to provide||verb|Dieses Jahr besorge ich keine Geschenke für Weihnachten.|I’m not getting presents for Christmas this year.
4272.002|4170|verb|besorgen|besorgen, besorgt, besorgte, hat besorgt||to get, provide, buy|to buy||verb|Dieses Jahr besorge ich keine Geschenke für Weihnachten.|I’m not getting presents for Christmas this year.
4273|4171|adv|binnen||Binnen einer Woche war alles erledigt.|within|within|Within a week, everything was done.|adverb|Binnen vier Wochen muss die Arbeit fertig sein.|The work must be completed within four weeks.
4274|4172|adj|einstig||Der einstige Ruhm verblasste schnell.|former|former|The former glory faded quickly.|adjective|Das Gebäude der einstigen Firma steht jetzt leer.|The building of the former company is now empty.
4275|4173|verb|entgegensetzen|entgegensetzen, setzt entgegen, setzte entgegen, hat entgegengesetzt|Er setzt sich dem Druck entgegen.|to oppose, counter|to oppose|He opposes the pressure.|verb|Deinem Argument kann ich nichts entgegensetzen.|I have nothing to counter your argument.
4275.001|4173|verb|entgegensetzen|entgegensetzen, setzt entgegen, setzte entgegen, hat entgegengesetzt||to oppose, counter|to counter||verb|Deinem Argument kann ich nichts entgegensetzen.|I have nothing to counter your argument.
4276|4174|die|die Inszenierung|die Inszenierungen|Die Inszenierung erhielt großes Lob.|production, staging|production|The production received great praise.|noun|Wir sehen uns heute eine Inszenierung im Theater an.|We’re going to see a production at the theater today.
4276.001|4174|die|die Inszenierung|die Inszenierungen||production, staging|staging||noun|Wir sehen uns heute eine Inszenierung im Theater an.|We’re going to see a production at the theater today.
4277|4175|das|das Kraftwerk|die Kraftwerke|Das Kraftwerk liefert Energie.|power plant|power plant|The power plant supplies energy.|noun|Wenn die Kraftwerke ausfallen, haben wir keinen Strom.|If the power plants fail, we’ll have no power.
4278|4176|das|das Nervensystem|die Nervensysteme|Das Nervensystem reagiert auf Stress.|nervous systems|nervous systems|The nervous system reacts to stress.|noun|Man unterscheidet zwischen zwei Nervensystemen im menschlichen Körper.|One distinguishes between two nervous systems in the human body.
4279|4177|adj|nördlich||Nördlich von Berlin liegt ein See.|north|north|A lake lies north of Berlin.|adjective|Der See liegt nördlich von der Stadt.|The lake is located north of the city.
4280|4178|adj|obig||Das obige Beispiel zeigt den Fehler.|above|above|The above example shows the error.|adjective|Bitte schicken Sie die Ware an die obige Adresse.|Please send the goods to the above address.
4281|4179|adj|skeptisch||Der skeptische Blick verunsicherte ihn.|skeptical|skeptical|The skeptical look made him uneasy.|adjective|Deiner Idee stehe ich skeptisch gegenüber.|I’m skeptical about your idea.
